YOM,Engine (cc),Gear,Millage(KM),Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,Year_Listed,Month_Listed,Car_Age,Mileage_per_year,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol,Brand_Freq,Model_Freq,Brand_AvgPrice,Model_AvgPrice,BrandModel_AvgPrice,BrandModelYear_AvgPrice,Luxury_Brand
1960,1500.0,0,715000.0,0,0,1,1,0,0,1275000.0,2024,12,65,11000.0,0.0,0.0,0.0,1.0,17,1,2516764.705882353,1275000.0,1275000.0,1275000.0,0
1998,1300.0,1,297000.0,0,0,1,1,0,0,3350000.0,2024,12,27,11000.0,0.0,0.0,0.0,1.0,17,1,2516764.705882353,3350000.0,3350000.0,3350000.0,0
1960,1300.0,1,715000.0,0,0,0,1,0,0,2500000.0,2024,12,65,11000.0,0.0,0.0,0.0,1.0,17,3,2516764.705882353,2691666.6666666665,2500000.0,2500000.0,0
1980,1300.0,0,495000.0,0,0,1,0,0,0,2150000.0,2025,2,45,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2200000.0,0
1969,1300.0,1,616000.0,0,0,1,1,1,1,2490000.0,2025,2,56,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2372500.0,0
1969,1300.0,0,616000.0,0,0,1,1,0,0,2050000.0,2025,1,56,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2372500.0,0
1997,1300.0,1,308000.0,0,0,1,0,0,0,3000000.0,2025,1,28,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2766666.6666666665,0
1995,1300.0,0,330000.0,0,0,1,0,0,0,2650000.0,2025,1,30,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2650000.0,0
1960,1300.0,0,715000.0,0,0,1,0,0,0,2295000.0,2025,1,65,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2295000.0,0
1969,1275.0,0,616000.0,0,0,1,0,0,0,2100000.0,2025,1,56,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2372500.0,0
1980,1300.0,0,495000.0,0,0,1,0,0,0,2300000.0,2025,1,45,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2200000.0,0
1997,1300.0,1,308000.0,0,0,1,0,0,0,3000000.0,2025,1,28,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2766666.6666666665,0
1997,1300.0,1,308000.0,0,0,1,0,0,0,2300000.0,2025,1,28,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2766666.6666666665,0
1980,1000.0,0,495000.0,0,0,1,0,0,0,2150000.0,2024,12,45,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2200000.0,0
1970,1300.0,0,605000.0,0,0,1,0,0,0,2525000.0,2024,12,55,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2525000.0,0
1969,1300.0,1,616000.0,0,0,1,0,0,0,2850000.0,2024,12,56,11000.0,0.0,0.0,0.0,1.0,17,16,2516764.705882353,2511562.5,2450769.230769231,2372500.0,0
1961,1275.0,0,704000.0,0,0,1,0,0,0,3800000.0,2025,1,64,11000.0,0.0,0.0,0.0,1.0,17,1,2516764.705882353,3800000.0,3800000.0,3800000.0,0
2019,1500.0,0,66000.0,0,0,0,1,0,0,975000.0,2025,2,6,11000.0,0.0,0.0,0.0,1.0,6,6,1121354.1666666667,1121354.1666666667,1121354.1666666667,1157031.25,0
2018,1500.0,0,77000.0,0,0,0,1,0,0,1050000.0,2025,2,7,11000.0,0.0,0.0,0.0,1.0,6,6,1121354.1666666667,1121354.1666666667,1121354.1666666667,1050000.0,0
2018,1500.0,0,77000.0,0,0,1,1,1,0,1050000.0,2025,2,7,11000.0,0.0,0.0,0.0,1.0,6,6,1121354.1666666667,1121354.1666666667,1121354.1666666667,1050000.0,0
2019,1500.0,0,66000.0,0,0,1,0,0,0,1378125.0,2025,1,6,11000.0,0.0,0.0,0.0,1.0,6,6,1121354.1666666667,1121354.1666666667,1121354.1666666667,1157031.25,0
2019,1500.0,0,66000.0,0,0,0,0,1,0,1225000.0,2024,12,6,11000.0,0.0,0.0,0.0,1.0,6,6,1121354.1666666667,1121354.1666666667,1121354.1666666667,1157031.25,0
2019,1500.0,0,66000.0,0,0,0,1,0,0,1050000.0,2024,12,6,11000.0,0.0,0.0,0.0,1.0,6,6,1121354.1666666667,1121354.1666666667,1121354.1666666667,1157031.25,0
1990,1600.0,0,385000.0,0,0,1,1,1,1,3900000.0,2025,1,35,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,3900000.0,3900000.0,3900000.0,1
2000,2000.0,0,275000.0,0,0,1,1,1,1,5450000.0,2025,1,25,11000.0,1.0,0.0,0.0,0.0,23,2,8224456.521739131,8700000.0,8700000.0,5450000.0,1
2011,2000.0,1,154000.0,0,0,1,1,1,1,11950000.0,2025,1,14,11000.0,1.0,0.0,0.0,0.0,23,2,8224456.521739131,8700000.0,8700000.0,11950000.0,1
2007,1990.0,1,198000.0,0,0,1,1,1,1,11500000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,23,3,8224456.521739131,11500000.0,11500000.0,11500000.0,1
2007,2000.0,1,198000.0,0,0,1,1,1,1,11500000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,23,3,8224456.521739131,11500000.0,11500000.0,11500000.0,1
2007,2000.0,1,198000.0,0,0,1,1,1,1,11500000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,23,3,8224456.521739131,11500000.0,11500000.0,11500000.0,1
2007,2000.0,1,198000.0,0,0,1,1,1,1,11500000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,23,4,8224456.521739131,11728125.0,11728125.0,11500000.0,1
2007,2000.0,1,198000.0,0,0,1,1,1,1,11500000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,23,4,8224456.521739131,11728125.0,11728125.0,11500000.0,1
2010,1997.0,1,165000.0,0,0,1,1,1,1,12312500.0,2025,1,15,11000.0,0.0,0.0,0.0,1.0,23,4,8224456.521739131,11728125.0,11728125.0,12312500.0,1
2006,2000.0,0,209000.0,0,0,1,1,1,1,11600000.0,2024,12,19,11000.0,0.0,0.0,0.0,1.0,23,4,8224456.521739131,11728125.0,11728125.0,11600000.0,1
2005,2000.0,1,220000.0,0,0,1,1,1,1,10000000.0,2025,1,20,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,10000000.0,10000000.0,10000000.0,1
1974,2000.0,0,561000.0,0,0,1,1,1,0,1450000.0,2024,12,51,11000.0,1.0,0.0,0.0,0.0,23,1,8224456.521739131,1450000.0,1450000.0,1450000.0,1
2011,2000.0,1,154000.0,0,0,1,1,1,1,12700000.0,2025,1,14,11000.0,1.0,0.0,0.0,0.0,23,1,8224456.521739131,12700000.0,12700000.0,12700000.0,1
1988,1800.0,0,407000.0,0,0,1,1,1,1,2850000.0,2025,2,37,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,2850000.0,2850000.0,2850000.0,1
1993,1800.0,0,352000.0,1,0,1,1,1,1,4500000.0,2025,1,32,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,4500000.0,4500000.0,4500000.0,1
1991,1590.0,0,374000.0,0,0,1,1,0,0,1800000.0,2025,2,34,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,1800000.0,1800000.0,1800000.0,1
1990,1796.0,0,385000.0,0,0,1,1,1,1,2950000.0,2024,12,35,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,2950000.0,2950000.0,2950000.0,1
2002,2500.0,1,253000.0,0,0,1,1,1,1,8500000.0,2025,2,23,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,8500000.0,8500000.0,8500000.0,1
2002,1980.0,0,253000.0,0,0,1,1,1,1,6500000.0,2025,1,23,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,6500000.0,6500000.0,6500000.0,1
2000,2500.0,0,275000.0,0,0,1,1,1,1,6250000.0,2025,1,25,11000.0,1.0,0.0,0.0,0.0,23,1,8224456.521739131,6250000.0,6250000.0,6250000.0,1
2004,3000.0,1,231000.0,0,0,1,1,1,1,9500000.0,2024,12,21,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,9500000.0,9500000.0,9500000.0,1
2007,1590.0,1,198000.0,0,0,1,1,1,1,8950000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,8950000.0,8950000.0,8950000.0,1
2015,1600.0,0,110000.0,0,0,1,1,1,1,10500000.0,2025,2,10,11000.0,0.0,0.0,0.0,1.0,23,1,8224456.521739131,10500000.0,10500000.0,10500000.0,1
2015,1000.0,0,110000.0,0,0,1,1,1,1,3150000.0,2025,1,10,11000.0,0.0,0.0,0.0,1.0,44,1,1385096.5909090908,3150000.0,3150000.0,3150000.0,0
2009,800.0,0,176000.0,0,0,0,1,1,1,1275000.0,2025,2,16,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1377500.0,0
2006,812.0,1,209000.0,0,0,1,1,1,1,1130000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2011,798.0,0,154000.0,1,0,1,1,1,1,1203750.0,2025,2,14,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1297250.0,0
2010,812.0,1,165000.0,0,0,1,1,0,0,1837500.0,2025,2,15,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1837500.0,0
2006,800.0,0,209000.0,0,0,1,1,1,1,1130000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2007,812.0,0,198000.0,0,0,1,1,1,1,1260000.0,2025,2,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2007,812.0,0,198000.0,0,0,1,1,1,1,1365000.0,2025,2,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2006,800.0,0,209000.0,0,0,1,1,1,1,1225000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2011,812.0,0,154000.0,0,0,1,1,1,1,1490000.0,2025,2,14,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1297250.0,0
2006,800.0,0,209000.0,0,0,0,1,1,1,1320000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2006,798.0,0,209000.0,0,0,1,1,0,1,1130000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2006,800.0,0,209000.0,0,0,0,1,0,0,950000.0,2025,2,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2006,800.0,0,209000.0,1,0,1,1,1,1,857500.0000000001,2025,1,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2011,800.0,0,154000.0,0,0,1,1,0,1,1550000.0,2025,1,14,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1297250.0,0
2006,800.0,0,209000.0,0,0,0,1,0,1,1175000.0,2025,1,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2006,800.0,0,209000.0,0,0,1,1,1,1,1100000.0,2025,1,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1400000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2008,800.0,0,187000.0,0,0,1,1,1,1,1450000.0,2025,1,17,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1579166.6666666667,0
2012,800.0,0,143000.0,0,0,1,1,1,1,1575000.0,2025,1,13,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1497500.0,0
2008,800.0,1,187000.0,1,0,1,1,1,1,1450000.0,2025,1,17,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1579166.6666666667,0
