Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4385.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kurunegala,2024-12-24,No Leasing,USED,Available,Available,Available,Available,35.0
4386.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Gampaha,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,32.8
4387.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Kelaniya,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.2945945945946
4388.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kuliyapitiya,2024-12-23,No Leasing,USED,Available,Available,Available,Available,32.0
4389.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Anuradapura,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,33.5
4390.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Mirigama,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,34.25
4391.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Galle,2024-12-23,No Leasing,USED,Available,Available,Available,Available,34.6
4392.0,SUZUKI,ALTO,2010.0,800.0,Automatic,Petrol,165000.0,Negombo,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,26.5
4393.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Homagama,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,33.02984496124031
4394.0,SUZUKI,ALTO,2002.0,660.0,Manual,Petrol,253000.0,Nugegoda,2024-12-22,No Leasing,USED,Available,Available,Available,Available,28.9
4395.0,,ALTO,2017.0,660.0,Automatic,Petrol,88000.0,Colombo,,No Leasing,USED,Available,Available,,Available,35.95
4396.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Nuwara-Eliya,2024-12-22,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.75
4397.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Kandy,2024-12-22,No Leasing,USED,Available,Available,Available,Available,32.75
4398.0,SUZUKI,ALTO,2012.0,800.0,Manual,Petrol,143000.0,Kandy,2024-12-22,No Leasing,USED,Available,Available,Available,Not_Available,27.5
4399.0,SUZUKI,ALTO,2011.0,800.0,Manual,Petrol,154000.0,Kandy,2024-12-21,No Leasing,USED,Available,Available,Not_Available,Not_Available,25.0
4400.0,SUZUKI,ALTO,2004.0,650.0,Automatic,Petrol,231000.0,Galle,2024-12-21,No Leasing,USED,Available,Available,Not_Available,Available,33.75
4401.0,SUZUKI,ALTO,2015.0,800.0,Manual,Petrol,110000.0,Galle,2024-12-21,No Leasing,,Available,Not_Available,Not_Available,Available,34.5
4402.0,SUZUKI,ALTO,2010.0,800.0,Manual,Petrol,165000.0,Gampaha,2024-12-21,No Leasing,USED,Available,Available,Not_Available,Not_Available,28.2
4403.0,SUZUKI,ALTO,2007.0,800.0,Manual,Petrol,198000.0,Gampaha,2024-12-21,No Leasing,NEW,Available,Available,Available,Available,24.0195
4404.0,SUZUKI,ALTO,2015.0,660.0,Automatic,Petrol,110000.0,Malabe,2024-12-21,No Leasing,USED,Available,Available,Not_Available,Available,32.3
